I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,
E,2018/10/29 9:26,3717,3717,122,27173 ,
I,2018/10/29 9:27,3708,3708,304,27180 ,
I,2018/10/29 9:27,3708,3708,304,27180 ,
I,2018/10/29 9:27,3710,3710,142,27186 ,
I,2018/10/29 9:27,3710,3710,143,27189 ,
I,2018/10/29 9:27,3709,3709,110,27190 ,
E,2018/10/29 9:27,3708,3708,143,27190 ,
E,2018/10/29 9:27,3711,3711,112,27191 ,
E,2018/10/29 9:27,3714,3714,143,27193 ,
E,2018/10/29 9:27,3704,3711,303,27198 ,
E,2018/10/29 9:27,3717,3717,122,27203 ,
I,2018/10/29 9:27,3711,3711,502,27205 ,
I,2018/10/29 9:27,3714,3717,304,27206 ,
I,2018/10/29 9:27,3711,3711,143,27210 ,
I,2018/10/29 9:28,3709,3709,110,27211 ,
I,2018/10/29 9:28,3708,3708,142,27214 ,
I,2018/10/29 9:28,3715,3715,142,27225 ,
I,2018/10/29 9:28,3720,3720,142,27227 ,
I,2018/10/29 9:28,3711,3711,142,27228 ,
I,2018/10/29 9:28,3710,3710,110,27232 ,
E,2018/10/29 9:28,3717,3717,601,27233 ,
E,2018/10/29 9:28,3711,3711,143,27233 ,
E,2018/10/29 9:28,3711,3711,142,27233 ,
E,2018/10/29 9:28,3711,3711,143,27235 ,
E,2018/10/29 9:28,3711,3711,502,27237 ,
E,2018/10/29 9:28,3717,3717,133,27242 ,
E,2018/10/29 9:28,3711,3711,309,27244 ,
E,2018/10/29 9:28,3708,3708,143,27244 ,
E,2018/10/29 9:28,3708,3708,244,27247 ,
E,2018/10/29 9:28,3711,3711,112,27247 ,
I,2018/10/29 9:29,3711,3711,116,27250 ,
I,2018/10/29 9:29,3711,3711,143,27254 ,
E,2018/10/29 9:29,3711,3711,502,27261 ,
E,2018/10/29 9:29,3715,3715,142,27265 ,
E,2018/10/29 9:29,3717,3717,110,27281 ,
E,2018/10/29 9:29,3717,3717,502,27281 ,
I,2018/10/29 9:30,3715,3715,502,27289 ,
I,2018/10/29 9:30,3715,3715,238,27289 ,
I,2018/10/29 9:30,3703,3703,142,27296 ,
I,2018/10/29 9:30,3713,5141,142,27298 ,
E,2018/10/29 9:30,3726,3711,142,27304 ,
E,2018/10/29 9:30,3708,3708,142,27320 ,
E,2018/10/29 9:30,3709,3709,309,27321 ,
E,2018/10/29 9:30,3711,3711,142,27321 ,
E,2018/10/29 9:30,3717,3717,142,27323 ,
I,2018/10/29 9:31,3708,3708,132,27325 ,
I,2018/10/29 9:31,3710,3710,137,27325 ,
I,2018/10/29 9:31,3711,3711,307,27325 ,
I,2018/10/29 9:31,3715,3715,133,27335 ,
I,2018/10/29 9:31,3711,3711,142,27337 ,
I,2018/10/29 9:31,3703,3703,111,27350 ,
E,2018/10/29 9:31,3708,3708,142,27351 ,
E,2018/10/29 9:31,3708,3708,112,27352 ,
E,2018/10/29 9:31,3711,3711,502,27353 ,
E,2018/10/29 9:31,3708,3708,116,27359 ,
E,2018/10/29 9:31,3711,3711,129,27361 ,
I,2018/10/29 9:32,3703,3703,110,27367 ,
I,2018/10/29 9:32,3708,3708,142,27368 ,
I,2018/10/29 9:32,3714,3714,143,27372 ,
