I_E_FLAG,END_DATE,DECL_PORT,I_E_PORT,COUNTRY,DELAY,,,
E,2018-10-28 15:29:56,3708,3708,142,16495.90938,0.374999999,28.31969782,
E,2018-10-28 15:30:36,3708,3708,142,16521.08244,0.333333333,25.17306477,
E,2018-10-28 16:12:25,3708,3708,410,18100.06293,20.90833333,1578.980491,
E,2018-10-28 16:40:57,3711,3711,502,19177.47011,14.26666667,1077.407175,
E,2018-10-28 17:33:36,3708,3708,502,21165.5129,26.325,1988.042794,
I,2018-10-29 07:47:53,3725,3725,331,23431.08874,30,2265.575834,
I,2018-10-29 07:50:37,3725,3725,116,23534.2983,1.366666667,103.2095658,
I,2018-10-29 07:51:40,3725,3725,110,23573.94588,0.525000002,39.64757726,
I,2018-10-29 07:55:26,3708,3708,111,23716.17369,1.883333334,142.2278163,
E,2018-10-29 07:57:22,3715,3715,142,23789.17558,0.966666662,73.00188764,
I,2018-10-29 08:00:55,3708,3708,142,23923.22215,1.775000001,134.0465703,
I,2018-10-29 08:22:09,3703,3708,307,24724.98427,10.61666667,801.7621144,
I,2018-10-29 08:26:04,3703,3708,307,24872.87602,1.958333335,147.891756,
I,2018-10-29 08:37:19,3725,3725,143,25297.67149,5.625,424.7954688,
I,2018-10-29 08:37:58,3709,3708,429,25322.21523,0.325000003,24.5437384,
I,2018-10-29 08:38:18,3725,3725,110,25334.80176,0.166666664,12.58653219,
I,2018-10-29 08:38:34,3711,3711,502,25344.87099,0.133333333,10.06922591,
E,2018-10-29 08:38:50,3708,3708,136,25354.94021,0.133333333,10.06922591,
I,2018-10-29 08:39:01,3708,3708,129,25361.86281,0.091666667,6.922592861,
E,2018-10-29 08:39:24,3711,3711,110,25376.33732,0.19166667,14.47451249,
E,2018-10-29 08:39:43,3708,3708,143,25388.29453,0.158333334,11.95720582,
I,2018-10-29 08:40:07,3718,3715,142,25403.39836,0.2,15.10383886,
I,2018-10-29 08:40:15,3725,3725,309,25408.43298,0.066666667,5.034612954,
I,2018-10-29 08:40:31,3708,3708,142,25418.5022,0.133333333,10.06922591,
E,2018-10-29 08:40:49,3708,3708,122,25429.83008,0.149999998,11.32787905,
I,2018-10-29 08:41:41,3725,3725,133,25462.55507,0.433333335,32.7249844,
E,2018-10-29 08:41:56,3708,3708,307,25471.99497,0.124999998,9.439899141,
E,2018-10-29 08:42:56,3711,3711,143,25509.75456,0.500000002,37.75959735,
I,2018-10-29 08:44:20,3711,3711,110,25562.618,0.700000001,52.86343622,
I,2018-10-29 08:44:31,3708,3708,132,25569.54059,0.091666662,6.922592466,
I,2018-10-29 08:44:38,3725,3725,116,25573.94588,0.058333336,4.405286582,
E,2018-10-29 08:44:47,3711,3711,502,25579.60982,0.075000002,5.663939722,
E,2018-10-29 08:44:51,3708,3708,129,25582.12712,0.033333331,2.517306279,
E,2018-10-29 08:45:01,3717,3717,143,25588.42039,0.083333332,6.293266094,
E,2018-10-29 08:45:11,3708,3708,502,25594.71366,0.083333337,6.293266489,
E,2018-10-29 08:45:18,3717,3717,110,25599.11894,0.058333331,4.405286187,
E,2018-10-29 08:45:37,3717,3717,129,25611.07615,0.158333334,11.95720582,
I,2018-10-29 08:46:09,3718,3715,502,25631.2146,0.266666666,20.13845182,
E,2018-10-29 08:46:22,3708,3708,502,25639.39585,0.108333332,8.181246001,
I,2018-10-29 08:47:27,3713,5141,303,25680.30208,0.541666668,40.9062304,
E,2018-10-29 08:47:31,3708,3708,502,25682.81938,0.033333336,2.517306675,
I,2018-10-29 08:48:00,3706,3708,502,25701.06986,0.241666666,18.25047191,
I,2018-10-29 08:48:04,3709,3709,601,25703.58716,0.033333331,2.517306279,
E,2018-10-29 08:48:39,3708,3708,110,25725.61359,0.291666667,22.02643172,
I,2018-10-29 08:48:40,3715,3715,142,25726.24292,0.008333335,0.629326768,
I,2018-10-29 08:49:01,3709,3709,303,25739.45878,0.174999999,13.21585896,
E,2018-10-29 08:49:01,3708,3708,143,25739.45878,0,0,
E,2018-10-29 08:49:28,3708,3708,142,25756.4506,0.225,16.99181877,
I,2018-10-29 08:50:21,3713,5141,142,25789.80491,0.441666665,33.35431077,
E,2018-10-29 08:50:26,3711,3711,133,25792.95154,0.041666666,3.146633047,
E,2018-10-29 08:50:28,3708,3708,122,25794.2102,0.016666671,1.258653535,
E,2018-10-29 08:51:21,3708,3708,137,25827.56451,0.441666665,33.35431077,
E,2018-10-29 08:51:28,3709,3709,344,25831.96979,0.058333331,4.405286187,
I,2018-10-29 08:52:03,3713,5141,304,25853.99622,0.291666667,22.02643172,
I,2018-10-29 08:52:03,3722,3711,304,25853.99622,0,0,
E,2018-10-29 08:52:05,3709,3709,116,25855.25488,0.016666671,1.258653535,
E,2018-10-29 08:52:13,3708,3708,142,25860.28949,0.066666667,5.034612954,
E,2018-10-29 08:52:32,3708,3708,309,25872.2467,0.158333334,11.95720582,
I,2018-10-29 08:52:36,3715,3715,502,25874.764,0.033333331,2.517306279,
I,2018-10-29 08:52:46,3708,3708,142,25881.05727,0.083333332,6.293266094,
E,2018-10-29 08:53:33,3717,3717,132,25910.63562,0.391666669,29.57835135,
E,2018-10-29 08:53:51,3717,3717,129,25921.9635,0.149999998,11.32787905,
E,2018-10-29 08:53:51,3711,3711,122,25921.9635,0,0,
E,2018-10-29 08:53:52,3711,3711,112,25922.59283,0.008333335,0.629326768,
I,2018-10-29 08:54:14,3713,5141,132,25936.43801,0.183333334,13.84518572,
E,2018-10-29 08:55:20,3708,3708,311,25977.97357,0.549999998,41.53555677,
E,2018-10-29 08:55:20,3708,3708,142,25977.97357,0,0,
I,2018-10-29 08:56:02,3709,3709,142,26004.40529,0.350000003,26.43171831,
I,2018-10-29 08:56:09,3713,5141,502,26008.81057,0.058333331,4.405286187,
I,2018-10-29 08:56:22,3709,3709,143,26016.99182,0.108333332,8.181246001,
I,2018-10-29 08:56:39,3713,5301,142,26027.69037,0.141666668,10.69855268,
E,2018-10-29 08:56:50,3708,3708,303,26034.61296,0.091666667,6.922592861,
E,2018-10-29 08:56:59,3708,3708,601,26040.2769,0.074999997,5.663939326,
I,2018-10-29 08:57:05,3709,3709,142,26044.05286,0.050000001,3.775959815,
I,2018-10-29 08:57:08,3713,5141,110,26045.94084,0.025000001,1.887979907,
I,2018-10-29 08:57:16,3708,3708,110,26050.97546,0.066666667,5.034612954,
I,2018-10-29 08:57:32,3709,3709,116,26061.04468,0.133333333,10.06922591,
I,2018-10-29 08:57:32,3709,3708,110,26061.04468,0,0,
E,2018-10-29 08:57:45,3708,3708,303,26069.22593,0.108333332,8.181246001,
E,2018-10-29 08:57:49,3708,3708,142,26071.74324,0.033333336,2.517306675,
E,2018-10-29 08:57:58,3708,3708,143,26077.40717,0.074999997,5.663939326,
